IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/921046/0000950116-02-001368.txt
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/75362/0000912057-02-024476.txt
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/825542/0000950152-02-004937.txt
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/230557/0000950123-02-006516.txt
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/842662/0000893220-02-000813.txt
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/109156/0000950134-02-000590.txt
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/109261/0000912057-02-024732.txt
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/109380/0000912057-01-522207.txt
157.174.221.000,Florida Blue,Florida,Jacksonville,United States,S-8,https://www.sec.gov/Archives/edgar/data/1122304/0000914039-02-000199.txt
